dataset,split_strategy,metric,model_a,model_b,n_pairs,mean_delta,median_delta,statistic,p_value,p_holm
esol,scaffold,r2,edge_gnn,hybrid_concat,10,-0.14097079999152548,-0.14046730554567732,0.0,0.001953125,0.0546875
esol,scaffold,r2,edge_gnn,hybrid_gated,10,-0.15358466680053512,-0.1553576009587319,0.0,0.001953125,0.0546875
esol,scaffold,r2,edge_gnn,mean_baseline,10,0.8717680607328291,0.8875595242133278,0.0,0.001953125,0.0546875
esol,scaffold,r2,edge_gnn,node_gnn,10,0.015525148993176663,0.0018764255118098316,22.0,0.625,1.0
esol,scaffold,r2,edge_gnn,rf_rdkit,10,-0.11118737429872252,-0.11497850009244748,1.0,0.00390625,0.0546875
esol,scaffold,r2,edge_gnn,rf_rdkit_morgan,10,-0.037512259279841455,-0.05539525255237693,13.0,0.16015625,0.640625
esol,scaffold,r2,edge_gnn,xgb_rdkit_morgan,10,-0.15297622495270002,-0.16429319812469878,0.0,0.001953125,0.0546875
esol,scaffold,r2,hybrid_concat,hybrid_gated,10,-0.012613866809009621,-0.014501746955814576,6.0,0.02734375,0.19140625
esol,scaffold,r2,hybrid_concat,mean_baseline,10,1.0127388607243542,1.0130638244119141,0.0,0.001953125,0.0546875
esol,scaffold,r2,hybrid_concat,node_gnn,10,0.15649594898470215,0.1494025564017608,0.0,0.001953125,0.0546875
esol,scaffold,r2,hybrid_concat,rf_rdkit,10,0.029783425692802977,0.04816463461159315,10.0,0.083984375,0.419921875
esol,scaffold,r2,hybrid_concat,rf_rdkit_morgan,10,0.10345854071168406,0.11078045266757319,1.0,0.00390625,0.0546875
esol,scaffold,r2,hybrid_concat,xgb_rdkit_morgan,10,-0.012005424961174526,-0.013392093069823363,19.0,0.431640625,1.0
esol,scaffold,r2,hybrid_gated,mean_baseline,10,1.0253527275333643,1.018881148592921,0.0,0.001953125,0.0546875
esol,scaffold,r2,hybrid_gated,node_gnn,10,0.1691098157937118,0.1588485414971485,0.0,0.001953125,0.0546875
esol,scaffold,r2,hybrid_gated,rf_rdkit,10,0.0423972925018126,0.04557105889277635,3.0,0.009765625,0.078125
esol,scaffold,r2,hybrid_gated,rf_rdkit_morgan,10,0.11607240752069366,0.11672304456171706,0.0,0.001953125,0.0546875
esol,scaffold,r2,hybrid_gated,xgb_rdkit_morgan,10,0.000608441847835095,-0.0016768510358172728,26.0,0.921875,1.0
esol,scaffold,r2,mean_baseline,node_gnn,10,-0.8562429117396523,-0.838478506722157,0.0,0.001953125,0.0546875
esol,scaffold,r2,mean_baseline,rf_rdkit,10,-0.9829554350315515,-0.9554925825749725,0.0,0.001953125,0.0546875
esol,scaffold,r2,mean_baseline,rf_rdkit_morgan,10,-0.9092803200126705,-0.8936562746313209,0.0,0.001953125,0.0546875
esol,scaffold,r2,mean_baseline,xgb_rdkit_morgan,10,-1.0247442856855289,-1.009422300149017,0.0,0.001953125,0.0546875
esol,scaffold,r2,node_gnn,rf_rdkit,10,-0.12671252329189917,-0.1469753376995495,0.0,0.001953125,0.0546875
esol,scaffold,r2,node_gnn,rf_rdkit_morgan,10,-0.053037408273018116,-0.07789050140849141,8.0,0.048828125,0.29296875
esol,scaffold,r2,node_gnn,xgb_rdkit_morgan,10,-0.1685013739458767,-0.17136920271527567,0.0,0.001953125,0.0546875
esol,scaffold,r2,rf_rdkit,rf_rdkit_morgan,10,0.07367511501888106,0.07115198566894071,0.0,0.001953125,0.0546875
esol,scaffold,r2,rf_rdkit,xgb_rdkit_morgan,10,-0.041788850653977506,-0.038092910427348414,0.0,0.001953125,0.0546875
esol,scaffold,r2,rf_rdkit_morgan,xgb_rdkit_morgan,10,-0.11546396567285858,-0.12080078416404622,0.0,0.001953125,0.0546875
freesolv,random,rmse,edge_gnn,hybrid_concat,10,0.2372240934429704,0.2550072904199009,6.0,0.02734375,0.3828125
freesolv,random,rmse,edge_gnn,hybrid_gated,10,0.21093629823079874,0.26172281057733693,4.0,0.013671875,0.21875
freesolv,random,rmse,edge_gnn,mean_baseline,10,-2.5644483910919917,-2.6336656060399912,0.0,0.001953125,0.0546875
freesolv,random,rmse,edge_gnn,node_gnn,10,-0.06148202783034028,-0.10803241764531196,18.0,0.375,1.0
freesolv,random,rmse,edge_gnn,rf_rdkit,10,0.011766785237405264,0.05012341880208249,27.0,1.0,1.0
freesolv,random,rmse,edge_gnn,rf_rdkit_morgan,10,-0.2112499140553848,-0.18210313484105423,7.0,0.037109375,0.4453125
freesolv,random,rmse,edge_gnn,xgb_rdkit_morgan,10,0.1792793915830066,0.1931130183691832,10.0,0.083984375,0.83984375
freesolv,random,rmse,hybrid_concat,hybrid_gated,10,-0.026287795212171682,-0.028614055566162977,19.0,0.431640625,1.0
freesolv,random,rmse,hybrid_concat,mean_baseline,10,-2.801672484534962,-2.972295526068292,0.0,0.001953125,0.0546875
freesolv,random,rmse,hybrid_concat,node_gnn,10,-0.29870612127331075,-0.2880899415492257,6.0,0.02734375,0.3828125
freesolv,random,rmse,hybrid_concat,rf_rdkit,10,-0.22545730820556514,-0.22663643431438923,4.0,0.013671875,0.21875
freesolv,random,rmse,hybrid_concat,rf_rdkit_morgan,10,-0.4484740074983552,-0.4420465705415693,0.0,0.001953125,0.0546875
freesolv,random,rmse,hybrid_concat,xgb_rdkit_morgan,10,-0.057944701859963824,-0.03556985431935744,22.0,0.625,1.0
freesolv,random,rmse,hybrid_gated,mean_baseline,10,-2.7753846893227903,-2.921459652734894,0.0,0.001953125,0.0546875
freesolv,random,rmse,hybrid_gated,node_gnn,10,-0.272418326061139,-0.28007954774524463,7.0,0.037109375,0.4453125
freesolv,random,rmse,hybrid_gated,rf_rdkit,10,-0.19916951299339347,-0.11184921172223683,10.0,0.083984375,0.83984375
freesolv,random,rmse,hybrid_gated,rf_rdkit_morgan,10,-0.4221862122861835,-0.34804948496838406,0.0,0.001953125,0.0546875
freesolv,random,rmse,hybrid_gated,xgb_rdkit_morgan,10,-0.03165690664779214,-0.0025066654355015427,27.0,1.0,1.0
freesolv,random,rmse,mean_baseline,node_gnn,10,2.5029663632616512,2.4441408855774,0.0,0.001953125,0.0546875
freesolv,random,rmse,mean_baseline,rf_rdkit,10,2.5762151763293963,2.581512276805588,0.0,0.001953125,0.0546875
freesolv,random,rmse,mean_baseline,rf_rdkit_morgan,10,2.353198477036607,2.390405939788738,0.0,0.001953125,0.0546875
freesolv,random,rmse,mean_baseline,xgb_rdkit_morgan,10,2.7437277826749975,2.774202503423913,0.0,0.001953125,0.0546875
freesolv,random,rmse,node_gnn,rf_rdkit,10,0.07324881306774554,0.12383879559882732,15.0,0.232421875,1.0
freesolv,random,rmse,node_gnn,rf_rdkit_morgan,10,-0.1497678862250445,-0.02072090757918499,19.0,0.431640625,1.0
freesolv,random,rmse,node_gnn,xgb_rdkit_morgan,10,0.2407614194133469,0.22804800323158786,10.0,0.083984375,0.83984375
freesolv,random,rmse,rf_rdkit,rf_rdkit_morgan,10,-0.22301669929279005,-0.24157506211070567,0.0,0.001953125,0.0546875
freesolv,random,rmse,rf_rdkit,xgb_rdkit_morgan,10,0.16751260634560133,0.18329503939264136,1.0,0.00390625,0.06640625
freesolv,random,rmse,rf_rdkit_morgan,xgb_rdkit_morgan,10,0.3905293056383914,0.40765102323157737,0.0,0.001953125,0.0546875
freesolv,random,mae,edge_gnn,hybrid_concat,10,0.1368412565295204,0.13604263552308082,5.0,0.01953125,0.21484375
freesolv,random,mae,edge_gnn,hybrid_gated,10,0.17327340829322457,0.1661791855750882,2.0,0.005859375,0.09375
freesolv,random,mae,edge_gnn,mean_baseline,10,-2.0692855128423244,-2.126399482208806,0.0,0.001953125,0.0546875
freesolv,random,mae,edge_gnn,node_gnn,10,-0.029752640524371,-0.04706029036033904,20.0,0.4921875,1.0
freesolv,random,mae,edge_gnn,rf_rdkit,10,0.07761388403663852,0.09561191319193968,14.0,0.193359375,0.966796875
freesolv,random,mae,edge_gnn,rf_rdkit_morgan,10,-0.06947956080898346,-0.03694391429900212,17.0,0.322265625,1.0
freesolv,random,mae,edge_gnn,xgb_rdkit_morgan,10,0.21077591338959892,0.23583321589865613,3.0,0.009765625,0.13671875
freesolv,random,mae,hybrid_concat,hybrid_gated,10,0.03643215176370419,0.032815520408791876,12.0,0.130859375,0.916015625
freesolv,random,mae,hybrid_concat,mean_baseline,10,-2.2061267693718447,-2.2551788041066465,0.0,0.001953125,0.0546875
freesolv,random,mae,hybrid_concat,node_gnn,10,-0.16659389705389138,-0.16509328182118932,4.0,0.013671875,0.1640625
freesolv,random,mae,hybrid_concat,rf_rdkit,10,-0.05922737249288187,-0.05631276407730201,11.0,0.10546875,0.84375
freesolv,random,mae,hybrid_concat,rf_rdkit_morgan,10,-0.20632081733850383,-0.20464913191918238,0.0,0.001953125,0.0546875
freesolv,random,mae,hybrid_concat,xgb_rdkit_morgan,10,0.07393465686007851,0.09810366734304932,5.0,0.01953125,0.21484375
freesolv,random,mae,hybrid_gated,mean_baseline,10,-2.2425589211355494,-2.325065198950889,0.0,0.001953125,0.0546875
freesolv,random,mae,hybrid_gated,node_gnn,10,-0.20302604881759553,-0.20716352288254297,3.0,0.009765625,0.13671875
freesolv,random,mae,hybrid_gated,rf_rdkit,10,-0.09565952425658605,-0.10090281911278215,8.0,0.048828125,0.439453125
freesolv,random,mae,hybrid_gated,rf_rdkit_morgan,10,-0.24275296910220803,-0.22727775454979648,0.0,0.001953125,0.0546875
freesolv,random,mae,hybrid_gated,xgb_rdkit_morgan,10,0.03750250509637432,0.04342974749837808,16.0,0.275390625,1.0
freesolv,random,mae,mean_baseline,node_gnn,10,2.0395328723179538,1.9529035423262044,0.0,0.001953125,0.0546875
freesolv,random,mae,mean_baseline,rf_rdkit,10,2.146899396878963,2.1224608546236574,0.0,0.001953125,0.0546875
