dataset,split_strategy,model,similarity_bin,n,mean_similarity,mae,rmse,empirical_coverage
esol,scaffold,rf_rdkit_morgan,"(0.4,0.6]",292,0.4798828912073811,0.9484465839577054,1.2586226834700152,0.8904109589041096
esol,scaffold,rf_rdkit_morgan,"(0.6,0.8]",41,0.6889350051254206,0.48484496930341625,0.6205761596874799,0.975609756097561
esol,scaffold,rf_rdkit_morgan,"(0.8,1.0]",37,0.9393742341110762,0.6712754292216256,0.8335903450112856,0.918918918918919
esol,scaffold,xgb_rdkit_morgan,"(0.0,0.2]",142,0.17373746989256714,0.5574424287922582,0.803235783956142,0.9084507042253521
esol,scaffold,xgb_rdkit_morgan,"(0.2,0.4]",598,0.3031366793852631,0.7193680959065245,0.9317602716685183,0.9063545150501672
esol,scaffold,xgb_rdkit_morgan,"(0.4,0.6]",292,0.4798828912073811,0.7072622339925113,0.9315380030688903,0.8664383561643836
esol,scaffold,xgb_rdkit_morgan,"(0.6,0.8]",41,0.6889350051254206,0.5139407586545209,0.6251319037370175,1.0
esol,scaffold,xgb_rdkit_morgan,"(0.8,1.0]",37,0.9393742341110762,0.42699798704100295,0.5586134545133481,1.0
freesolv,random,edge_gnn,"(0.0,0.2]",14,0.11715379665954632,1.6260292562625691,2.5873309805389426,0.7142857142857143
freesolv,random,edge_gnn,"(0.2,0.4]",127,0.32906431240352735,1.4777105649750066,2.0858304686045157,0.7952755905511811
freesolv,random,edge_gnn,"(0.4,0.6]",309,0.5052154690353111,0.7689057336923345,1.2250766547133158,0.9611650485436893
freesolv,random,edge_gnn,"(0.6,0.8]",120,0.6700987885811399,0.5878436228079468,0.7662657109400374,1.0
freesolv,random,edge_gnn,"(0.8,1.0]",70,0.9419242277330513,0.4394824226381183,0.5895774842412419,0.9857142857142858
freesolv,random,hybrid_concat,"(0.0,0.2]",14,0.11715379665954632,1.446686483849725,1.7145514425893793,0.6428571428571429
freesolv,random,hybrid_concat,"(0.2,0.4]",127,0.32906431240352735,1.0927014904059138,1.5929496465822384,0.8503937007874016
freesolv,random,hybrid_concat,"(0.4,0.6]",309,0.5052154690353111,0.650166999167728,1.0848843350055906,0.9320388349514563
freesolv,random,hybrid_concat,"(0.6,0.8]",120,0.6700987885811399,0.49917458618574334,0.711891137812538,0.975
freesolv,random,hybrid_concat,"(0.8,1.0]",70,0.9419242277330513,0.3516468513332172,0.47390625617614607,0.9857142857142858
freesolv,random,hybrid_gated,"(0.0,0.2]",14,0.11715379665954632,1.2256756745801372,1.570105273918245,0.7142857142857143
freesolv,random,hybrid_gated,"(0.2,0.4]",127,0.32906431240352735,1.07758389570061,1.6059945941640468,0.8188976377952756
freesolv,random,hybrid_gated,"(0.4,0.6]",309,0.5052154690353111,0.6425998415073771,1.008085158186026,0.9223300970873787
freesolv,random,hybrid_gated,"(0.6,0.8]",120,0.6700987885811399,0.5040942292468987,0.698939338755367,0.9583333333333334
freesolv,random,hybrid_gated,"(0.8,1.0]",70,0.9419242277330513,0.3332141059104202,0.45344143645688234,1.0
freesolv,random,mean_baseline,"(0.0,0.2]",14,0.11715379665954632,4.375390484922581,5.078011004399789,0.5714285714285714
freesolv,random,mean_baseline,"(0.2,0.4]",127,0.32906431240352735,3.299339289045546,4.463082289193785,0.8582677165354331
freesolv,random,mean_baseline,"(0.4,0.6]",309,0.5052154690353111,3.029017192084089,4.122013826830874,0.8770226537216829
freesolv,random,mean_baseline,"(0.6,0.8]",120,0.6700987885811399,2.2591140728445587,2.821903286684266,0.95
freesolv,random,mean_baseline,"(0.8,1.0]",70,0.9419242277330513,2.7310063450570614,3.303438624245305,0.9142857142857143
freesolv,random,node_gnn,"(0.0,0.2]",14,0.11715379665954632,2.0679333373737583,3.0231212423024054,0.6428571428571429
freesolv,random,node_gnn,"(0.2,0.4]",127,0.32906431240352735,1.3689376802676325,2.075065152404009,0.84251968503937
freesolv,random,node_gnn,"(0.4,0.6]",309,0.5052154690353111,0.8374967957398269,1.3186675128661334,0.948220064724919
