dataset,split_strategy,model,similarity_bin,n,mean_similarity,mae,rmse,empirical_coverage
lipophilicity,random,hybrid_concat,"(0.8,1.0]",940,0.8738569453846952,0.3219466970582057,0.4359495363993246,0.9648936170212766
lipophilicity,random,hybrid_gated,"(0.0,0.2]",12,0.17422219920124238,0.7355605353656031,0.8929136134832215,0.6666666666666666
lipophilicity,random,hybrid_gated,"(0.2,0.4]",832,0.32023035294025876,0.6450191774233738,0.8511778848679517,0.8052884615384616
lipophilicity,random,hybrid_gated,"(0.4,0.6]",748,0.5016404781433809,0.5341341974515147,0.7226390236472453,0.8542780748663101
lipophilicity,random,hybrid_gated,"(0.6,0.8]",1668,0.7186756798208712,0.3910430725177928,0.5192758947541499,0.9388489208633094
lipophilicity,random,hybrid_gated,"(0.8,1.0]",940,0.8738569453846952,0.31826705850663556,0.4365106229149086,0.9617021276595744
lipophilicity,random,mean_baseline,"(0.0,0.2]",12,0.17422219920124238,1.1394923814124154,1.629831147943524,0.75
lipophilicity,random,mean_baseline,"(0.2,0.4]",832,0.32023035294025876,1.0561959434518666,1.2895260417140149,0.8774038461538461
lipophilicity,random,mean_baseline,"(0.4,0.6]",748,0.5016404781433809,1.052897222608043,1.2887766879671256,0.8689839572192514
lipophilicity,random,mean_baseline,"(0.6,0.8]",1668,0.7186756798208712,0.932547708211189,1.154300958527651,0.9052757793764988
lipophilicity,random,mean_baseline,"(0.8,1.0]",940,0.8738569453846952,0.9485066939333053,1.1629292154656965,0.9095744680851063
lipophilicity,random,node_gnn,"(0.0,0.2]",12,0.17422219920124238,0.6387237285229429,0.8535886014654196,0.75
lipophilicity,random,node_gnn,"(0.2,0.4]",832,0.32023035294025876,0.6384689156616977,0.8800177375906952,0.8052884615384616
lipophilicity,random,node_gnn,"(0.4,0.6]",748,0.5016404781433809,0.5448141938999661,0.726333421667566,0.8489304812834224
lipophilicity,random,node_gnn,"(0.6,0.8]",1668,0.7186756798208712,0.40335611737434734,0.532308476425317,0.9268585131894485
lipophilicity,random,node_gnn,"(0.8,1.0]",940,0.8738569453846952,0.32584275453744826,0.4231572722317246,0.9659574468085106
lipophilicity,random,rf_rdkit,"(0.0,0.2]",12,0.17422219920124238,0.8693584418447893,1.0335126898027742,0.75
lipophilicity,random,rf_rdkit,"(0.2,0.4]",832,0.32023035294025876,0.7711335745193071,0.9533452232843094,0.8016826923076923
lipophilicity,random,rf_rdkit,"(0.4,0.6]",748,0.5016404781433809,0.7007611789617619,0.8712617783028593,0.8449197860962567
lipophilicity,random,rf_rdkit,"(0.6,0.8]",1668,0.7186756798208712,0.5116585890241333,0.6563424381292021,0.9388489208633094
lipophilicity,random,rf_rdkit,"(0.8,1.0]",940,0.8738569453846952,0.3990354975356871,0.5402573135406639,0.9595744680851064
lipophilicity,random,rf_rdkit_morgan,"(0.0,0.2]",12,0.17422219920124238,0.8965018010866519,1.1097541146130896,0.6666666666666666
lipophilicity,random,rf_rdkit_morgan,"(0.2,0.4]",832,0.32023035294025876,0.7986931271908912,0.9912159708662647,0.7920673076923077
lipophilicity,random,rf_rdkit_morgan,"(0.4,0.6]",748,0.5016404781433809,0.7277468370659995,0.9002508300463391,0.8409090909090909
lipophilicity,random,rf_rdkit_morgan,"(0.6,0.8]",1668,0.7186756798208712,0.5235470677723622,0.6661218626242776,0.9412470023980816
lipophilicity,random,rf_rdkit_morgan,"(0.8,1.0]",940,0.8738569453846952,0.4132462911376117,0.5581270626548492,0.9659574468085106
lipophilicity,random,xgb_rdkit_morgan,"(0.0,0.2]",12,0.17422219920124238,0.7570169706713844,0.9053460155495242,0.5833333333333334
lipophilicity,random,xgb_rdkit_morgan,"(0.2,0.4]",832,0.32023035294025876,0.6645229260962326,0.8478093941322875,0.8052884615384616
lipophilicity,random,xgb_rdkit_morgan,"(0.4,0.6]",748,0.5016404781433809,0.5582327336317559,0.7356374374885128,0.8609625668449198
lipophilicity,random,xgb_rdkit_morgan,"(0.6,0.8]",1668,0.7186756798208712,0.41939397830679,0.548310018640312,0.9286570743405276
lipophilicity,random,xgb_rdkit_morgan,"(0.8,1.0]",940,0.8738569453846952,0.3503144235958654,0.4703083663025539,0.9617021276595744
lipophilicity,scaffold,edge_gnn,"(0.0,0.2]",26,0.18146016142562596,0.764333010448609,0.9292662441060029,0.7307692307692307
lipophilicity,scaffold,edge_gnn,"(0.2,0.4]",1606,0.3147326557128964,0.6268030774973617,0.8145694899028858,0.8542963885429639
lipophilicity,scaffold,edge_gnn,"(0.4,0.6]",949,0.49699422753898403,0.5175382264692676,0.6661540727486351,0.9209694415173867
lipophilicity,scaffold,edge_gnn,"(0.6,0.8]",1285,0.7016408315697125,0.41747620774813665,0.5455519352206837,0.9494163424124513
lipophilicity,scaffold,edge_gnn,"(0.8,1.0]",334,0.8690687742436121,0.3444691208593531,0.4367196856145756,0.9820359281437125
lipophilicity,scaffold,hybrid_concat,"(0.0,0.2]",26,0.18146016142562596,0.8371733137747592,1.0202053923985028,0.7692307692307693
lipophilicity,scaffold,hybrid_concat,"(0.2,0.4]",1606,0.3147326557128964,0.6808552830857517,0.8900034887999909,0.8374844333748444
lipophilicity,scaffold,hybrid_concat,"(0.4,0.6]",949,0.49699422753898403,0.5753755342990959,0.7329211752321723,0.8861959957850368
lipophilicity,scaffold,hybrid_concat,"(0.6,0.8]",1285,0.7016408315697125,0.45001846904351095,0.5878057888250561,0.9478599221789883
lipophilicity,scaffold,hybrid_concat,"(0.8,1.0]",334,0.8690687742436121,0.3817625715053992,0.4895985743193776,0.9820359281437125
lipophilicity,scaffold,hybrid_gated,"(0.0,0.2]",26,0.18146016142562596,0.8645338978526536,1.0466823687557187,0.6923076923076923
lipophilicity,scaffold,hybrid_gated,"(0.2,0.4]",1606,0.3147326557128964,0.6886013344990364,0.9021722570778039,0.8493150684931506
lipophilicity,scaffold,hybrid_gated,"(0.4,0.6]",949,0.49699422753898403,0.5742533292243243,0.7367735706648989,0.8883034773445733
lipophilicity,scaffold,hybrid_gated,"(0.6,0.8]",1285,0.7016408315697125,0.4487421568604269,0.5828205132761201,0.953307392996109
lipophilicity,scaffold,hybrid_gated,"(0.8,1.0]",334,0.8690687742436121,0.3959300383371434,0.5169264043067252,0.9790419161676647
lipophilicity,scaffold,mean_baseline,"(0.0,0.2]",26,0.18146016142562596,1.1897997185929268,1.387672786828187,0.8846153846153846
lipophilicity,scaffold,mean_baseline,"(0.2,0.4]",1606,0.3147326557128964,1.0431325452877636,1.2749530770035897,0.8922789539227896
lipophilicity,scaffold,mean_baseline,"(0.4,0.6]",949,0.49699422753898403,1.0141681558467528,1.2435112419651655,0.8851422550052687
lipophilicity,scaffold,mean_baseline,"(0.6,0.8]",1285,0.7016408315697125,0.8571169475682329,1.0499527000251687,0.9392996108949416
lipophilicity,scaffold,mean_baseline,"(0.8,1.0]",334,0.8690687742436121,0.7845944030487356,0.9944569702580165,0.9341317365269461
