dataset,property,units,split_strategy,seed,model,family,features,fusion,best_epoch,train_seconds,n_parameters,git_commit,conformal_alpha,conformal_radius,partition,n,rmse,mae,r2,empirical_coverage,mean_interval_width
esol,aqueous_solubility,log10(mol/L),random,2028,mean_baseline,mean,none,none,0,8.557000001019333e-06,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,3.75130320850836,test,111,2.134205237794837,1.6262904805631688,-0.0048146895606278,0.945945945945946,7.502606417016719
esol,aqueous_solubility,log10(mol/L),random,2028,rf_rdkit,random_forest,rdkit,none,0,1.194528240000068,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.2259321908950795,train,782,0.2438490142965057,0.1805164326378726,0.9863896075289168,0.9974424552429668,2.451864381790159
esol,aqueous_solubility,log10(mol/L),random,2028,rf_rdkit,random_forest,rdkit,none,0,1.194528240000068,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.2259321908950795,validation,112,0.7424222189915582,0.5380258595974042,0.8631351618550578,0.9285714285714286,2.451864381790159
esol,aqueous_solubility,log10(mol/L),random,2028,rf_rdkit,random_forest,rdkit,none,0,1.194528240000068,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.2259321908950795,calibration,112,0.6821312598790055,0.5237012736949332,0.8966460874479122,0.9196428571428572,2.451864381790159
esol,aqueous_solubility,log10(mol/L),random,2028,rf_rdkit,random_forest,rdkit,none,0,1.194528240000068,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.2259321908950795,test,111,0.6240934890477614,0.4381652098151079,0.914076310677968,0.945945945945946,2.451864381790159
esol,aqueous_solubility,log10(mol/L),random,2028,rf_rdkit_morgan,random_forest,rdkit+morgan,none,0,1.3635596300000543,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.2847879751622684,train,782,0.2597355658436956,0.1936168901863005,0.984558428948543,0.9987212276214834,2.569575950324537
esol,aqueous_solubility,log10(mol/L),random,2028,rf_rdkit_morgan,random_forest,rdkit+morgan,none,0,1.3635596300000543,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.2847879751622684,validation,112,0.7716957998330479,0.5590473337371359,0.8521292623151946,0.9285714285714286,2.569575950324537
esol,aqueous_solubility,log10(mol/L),random,2028,rf_rdkit_morgan,random_forest,rdkit+morgan,none,0,1.3635596300000543,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.2847879751622684,calibration,112,0.7251030918302829,0.5429330328315762,0.8832140679364014,0.9196428571428572,2.569575950324537
esol,aqueous_solubility,log10(mol/L),random,2028,rf_rdkit_morgan,random_forest,rdkit+morgan,none,0,1.3635596300000543,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.2847879751622684,test,111,0.667320819387682,0.4640345112944172,0.901761219786623,0.954954954954955,2.569575950324537
esol,aqueous_solubility,log10(mol/L),random,2028,xgb_rdkit_morgan,xgboost,rdkit+morgan,none,0,4.630379988000072,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.0338600104768432,train,782,0.0682968761405615,0.0492739825897063,0.998932346521208,1.0,2.0677200209536863
esol,aqueous_solubility,log10(mol/L),random,2028,xgb_rdkit_morgan,xgboost,rdkit+morgan,none,0,4.630379988000072,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.0338600104768432,validation,112,0.6630662197043957,0.4771370513847818,0.8908298837785056,0.9107142857142856,2.0677200209536863
esol,aqueous_solubility,log10(mol/L),random,2028,xgb_rdkit_morgan,xgboost,rdkit+morgan,none,0,4.630379988000072,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.0338600104768432,calibration,112,0.6168624411003195,0.4669150597756677,0.9154784070252124,0.9196428571428572,2.0677200209536863
esol,aqueous_solubility,log10(mol/L),random,2028,xgb_rdkit_morgan,xgboost,rdkit+morgan,none,0,4.630379988000072,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.0338600104768432,test,111,0.6622397312465057,0.419262857451464,0.9032515361225713,0.9369369369369368,2.0677200209536863
esol,aqueous_solubility,log10(mol/L),random,2028,node_gnn,node_gnn,none,none,43,10.474640318999946,255365,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.2569259791430785,train,782,0.4885528628792449,0.3713232608073529,0.9453674131173304,0.979539641943734,2.513851958286157
